Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,-,-,-,-,2,80,464,122,228,246,284,205
2009,159,177,323,503,365,186,181,109,182,243,110,122
2010,124,198,430,614,371,285,299,196,265,121,123,71
2011,71,150,289,404,397,285,325,102,89,81,92,65
2012,67,84,337,189,173,165,162,89,80,42,56,41
2013,82,71,239,196,230,210,180,105,82,36,51,32
2014,53,42,292,171,204,131,184,91,163,90,110,92
2015,121,123,301,488,566,326,184,188,82,119,88,83
2016,84,159,282,469,665,374,308,225,200,120,139,135
2017,236,167,575,525,322,444,259,200,166,359,68,101
2018,95,140,169,446,407,307,175,108,119,110,103,95
2019,270,183,198,167,307,238,212,243,141,166,141,75
Total,1362,1494,3435,4172,4009,3031,2933,1778,1797,1733,1365,1117
