Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,-,-,-,-,178,422,395,313,385,471,419,336
2006,457,387,521,555,514,471,722,911,847,768,525,762
2007,564,551,445,1301,1316,936,517,299,420,684,387,438
2008,452,455,630,800,1358,1087,209,279,370,325,407,303
2009,175,551,765,325,206,115,290,463,729,868,163,211
2010,208,447,609,703,588,447,560,302,302,129,156,211
2011,161,111,351,671,547,294,913,126,323,271,224,145
2012,670,416,436,309,429,337,286,219,361,136,132,327
2013,395,285,505,457,644,409,298,454,524,159,223,235
2014,248,495,1020,231,363,225,115,116,340,221,172,158
2015,213,484,694,783,801,377,165,139,221,297,109,235
2016,205,215,644,666,371,298,342,132,159,186,317,212
2017,199,286,426,613,1561,658,114,121,120,144,126,494
2018,56,612,610,799,798,567,88,202,626,351,146,63
2019,48,872,1021,156,403,455,460,528,88,291,248,45
Total,4051,6167,8677,8369,10077,7098,5474,4604,5815,5301,3754,4175
