Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,430,845,485,342,359,387,217,125,249,214,530,127
2006,365,368,358,420,405,444,272,193,203,270,272,266
2007,169,137,103,110,102,169,96,82,111,208,255,92
2008,91,101,121,105,160,59,29,33,125,96,136,59
2009,27,18,14,7,8,8,12,0,1,2,0,0
2010,2,0,0,0,0,0,0,0,0,0,0,4
2011,24,92,170,259,359,260,260,243,201,214,183,284
2012,473,186,193,181,207,211,332,79,127,141,131,137
2013,138,141,123,231,344,113,149,81,142,231,183,169
2014,288,220,307,378,325,398,210,105,117,158,236,235
2015,177,126,293,579,532,226,463,404,146,172,336,205
2016,300,269,1084,805,578,674,436,501,395,230,551,352
2017,523,532,844,358,776,907,277,742,429,208,429,480
2018,403,500,816,543,917,1055,230,283,1121,444,348,291
2019,700,958,957,1754,531,677,869,996,640,687,584,267
Total,4110,4493,5868,6072,5603,5588,3852,3867,4007,3275,4174,2968
