Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,-,17,651,945,1581,1978,1100,1123,1062,1050,1326,984
2009,781,949,1349,1102,1223,1145,1553,947,945,1922,1648,1826
2010,1337,1449,2239,2001,1903,1595,2268,2141,2327,2512,2146,1867
2011,1764,2365,3487,3507,2812,2134,3123,2158,1936,1973,1845,1917
2012,1951,2028,2486,2549,3002,2580,3148,2404,2873,2198,2091,1578
2013,1996,1906,2646,2571,2267,2714,3161,2551,2480,2525,1705,1223
2014,1950,1502,2060,2611,2337,2072,2573,2008,2403,2068,1583,1548
2015,1200,1582,1942,2474,2630,2031,2349,3020,1928,2030,2203,2257
2016,1119,950,1430,1314,1408,1759,1586,1852,1199,1356,1465,1303
2017,1388,1098,2027,1738,763,820,1096,597,813,1440,999,966
2018,353,361,673,418,642,997,975,277,317,274,284,206
2019,217,272,271,325,403,169,258,296,92,177,151,73
Total,14056,14479,21261,21555,20971,19994,23190,19374,18375,19525,17446,15748
